name,road,district,province
Phrakhanong Fire & Rescue Station,Sukhumvit Rd,Watthana,Bangkok
Bang Kapi Fire Station,Praditmanutham Rd,Huai Khwang,Bangkok
Bon Kai Fire & Rescue Station,Rama 4 Rd,Pathum Wan,Bangkok
Thungmahamek Fire & Rescue Station,Yen Akat Rd,Yan Nawa,Bangkok
Khlong Toei Fire Station,"Soi 22, Sukhumvit Rd",Khlong Toei,Bangkok
Bang Khunnon Fire Station,Bang Khun Non Rd,Bangkok Noi,Bangkok
Pakkhlongsan Fire & Rescue Station,Charoennakhon Rd,Khlong San,Bangkok
Bang Khae Fire & Rescue Station,Petchkasem Rd,Bang Khae,Bangkok
Latyao Fire Station,Wiphawadi-Rangsit Rd,Chatuchak,Bangkok
Bawornmongkol fire Station,"Soi 44, Charansanitwong Rd",Bang Phlat,Bangkok
Phaya Thai Fire Station,Rama 6 Rd,Ratchathewi,Bangkok
Suan Mali Fire & Rescue Station,Yukhon 2 Rd,Pom Prap Sattru Phai,Bangkok
Bangchan Fire Station,Serithai Rd,Min Buri,Bangkok
Bang Pho Fire & Rescue Station,Pracharat Sai 1 Rd,Bang Sue,Bangkok
Huai Khwang Fire & Rescue Station,Prachasongkhro Rd,Din Daeng,Bangkok
Dusit Fire & Rescue Station,,Dusit,Bangkok
Sutthisan Fire & Rescue Station,Wiphawadi-Rangsit Rd,Din Daeng,Bangkok
Lat Phrao Fire Station,"Soi 31, Lat Phrao Rd",Chatuchak,Bangkok
Chan Road Fire & Rescue Station,Chan Rd,Yan Nawa,Bangkok
Bang Son Fire & Rescue Station,Bangkok-Nonthaburi Rd,Bang Sue,Bangkok
Bang Rak Fire Station,"Soi 37, Charoen Krung Rd",Bang Rak,Bangkok
Thonburi Fire & Rescue Station,Thoetthai Rd,Thon Buri,Bangkok
Golden Mount Fire & Rescue Station,Boriphat Rd,Pom Prap Sattru Phai,Bangkok
Lad Krabang Fire Station,Luang Phaeng Rd,Lat Krabang,Bangkok
Dao Khanong Fire Station,Chomthong Rd,Chom Thong,Bangkok
Thung Khru Fire & Rescue Station,"Soi 86, Prachautit Rd",Thung Khru,Bangkok
Bang Khun Thian Fire Station,Rama 2 Rd,Bang Khun Thian,Bangkok
Yan Nawa Fire & Rescue Station,Charoen Krung Rd,Sathon,Bangkok
Bang Pu Fire Station,Sukhumvit Rd,Mueang Samut Prakan,Samut Prakan
Samutprakan Fire Station,,Mueang Samut Prakan,Samut Prakan
Bang Khen Fire Station,Phahonyothin Rd,Bang Khen,Bangkok
Samsen fire Station,Khao Rd,Dusit,Bangkok
Banthat Thong Fire & Rescue Station,"Soi Chula 7, Rama 4 Rd",Pathum Wan,Bangkok
Bangorr Fire & Rescue Station,Charansanitwong Rd,Bang Phlat,Bangkok
Taladphlu Fire & Rescue Station,"Soi 16, Thoetthai Rd",Thon Buri,Bangkok
Talingchan Fire Station,,,Nakhon Pathom
Hua Mak Fire & Rescue Station,Ramkhamhaeng Rd,Bang Kapi,Bangkok
Khlong Dan Fire Station,Sukhumvit Rd,Bang Bo,Samut Prakan
Thesaban Phra Samut Chedi Fire Station,,Phra Samut Chedi,Samut Prakan
Samrong Nua Fire Station,,Mueang Samut Prakan,Samut Prakan
Muang Phra Pradaeng Fire Station,,Phra Pradaeng,Samut Prakan
Khu Khot Fire Station,,Lam Luk Ka,Pathum Thani
