,date,rainfall_mm,rainfall_hours,has_rain,heavy_rain
0,2021-01-01,0.0,0.0,0,0
1,2021-01-02,0.0,0.0,0,0
2,2021-01-03,0.0,0.0,0,0
3,2021-01-04,0.0,0.0,0,0
4,2021-01-05,0.0,0.0,0,0
5,2021-01-06,0.0,0.0,0,0
6,2021-01-07,0.0,0.0,0,0
7,2021-01-08,0.0,0.0,0,0
8,2021-01-09,0.0,0.0,0,0
9,2021-01-10,0.0,0.0,0,0
10,2021-01-11,0.0,0.0,0,0
11,2021-01-12,0.0,0.0,0,0
12,2021-01-13,0.0,0.0,0,0
13,2021-01-14,0.0,0.0,0,0
14,2021-01-15,0.0,0.0,0,0
15,2021-01-16,0.0,0.0,0,0
16,2021-01-17,0.1,1.0,1,0
17,2021-01-18,0.0,0.0,0,0
18,2021-01-19,0.0,0.0,0,0
19,2021-01-20,0.0,0.0,0,0
20,2021-01-21,0.0,0.0,0,0
21,2021-01-22,0.0,0.0,0,0
22,2021-01-23,0.0,0.0,0,0
23,2021-01-24,0.0,0.0,0,0
24,2021-01-25,0.3,2.0,1,0
25,2021-01-26,0.2,2.0,1,0
26,2021-01-27,1.1,5.0,1,0
27,2021-01-28,0.5,3.0,1,0
28,2021-01-29,0.0,0.0,0,0
29,2021-01-30,0.0,0.0,0,0
30,2021-01-31,0.0,0.0,0,0
31,2021-02-01,0.0,0.0,0,0
32,2021-02-02,0.0,0.0,0,0
33,2021-02-03,0.0,0.0,0,0
34,2021-02-04,0.0,0.0,0,0
35,2021-02-05,0.0,0.0,0,0
36,2021-02-06,0.0,0.0,0,0
37,2021-02-07,0.0,0.0,0,0
38,2021-02-08,0.3,3.0,1,0
39,2021-02-09,19.3,16.0,1,0
40,2021-02-10,2.3,7.0,1,0
41,2021-02-11,0.0,0.0,0,0
42,2021-02-12,0.0,0.0,0,0
43,2021-02-13,0.0,0.0,0,0
44,2021-02-14,0.1,1.0,1,0
45,2021-02-15,0.6,5.0,1,0
46,2021-02-16,0.4,4.0,1,0
47,2021-02-17,2.9,7.0,1,0
48,2021-02-18,0.5,1.0,1,0
49,2021-02-19,0.0,0.0,0,0
50,2021-02-20,0.0,0.0,0,0
51,2021-02-21,0.0,0.0,0,0
52,2021-02-22,0.0,0.0,0,0
53,2021-02-23,0.0,0.0,0,0
54,2021-02-24,0.0,0.0,0,0
55,2021-02-25,0.0,0.0,0,0
56,2021-02-26,0.0,0.0,0,0
57,2021-02-27,0.0,0.0,0,0
58,2021-02-28,0.0,0.0,0,0
59,2021-03-01,0.0,0.0,0,0
60,2021-03-02,0.8,6.0,1,0
61,2021-03-03,5.3,11.0,1,0
62,2021-03-04,0.8,6.0,1,0
63,2021-03-05,0.7,7.0,1,0
64,2021-03-06,0.0,0.0,0,0
65,2021-03-07,0.0,0.0,0,0
66,2021-03-08,0.6,2.0,1,0
67,2021-03-09,2.5,5.0,1,0
68,2021-03-10,2.1,4.0,1,0
69,2021-03-11,0.7,4.0,1,0
70,2021-03-12,0.5,3.0,1,0
71,2021-03-13,1.3,2.0,1,0
72,2021-03-14,1.1,3.0,1,0
73,2021-03-15,0.2,2.0,1,0
74,2021-03-16,0.1,1.0,1,0
75,2021-03-17,0.5,5.0,1,0
76,2021-03-18,0.2,2.0,1,0
77,2021-03-19,0.2,2.0,1,0
78,2021-03-20,0.2,2.0,1,0
79,2021-03-21,0.0,0.0,0,0
80,2021-03-22,16.5,11.0,1,0
81,2021-03-23,0.0,0.0,0,0
82,2021-03-24,0.1,1.0,1,0
83,2021-03-25,0.4,3.0,1,0
84,2021-03-26,0.3,3.0,1,0
85,2021-03-27,0.0,0.0,0,0
86,2021-03-28,0.0,0.0,0,0
87,2021-03-29,0.0,0.0,0,0
88,2021-03-30,0.1,1.0,1,0
